DUS-MUC;Economy;1
MUC-DUS;Economy;1
HAM-PMI;Economy;1
CGN-TXL;Economy;1
CGN-PMI;Economy;1
TXL-CGN;Economy;1
CGN-HAM;Economy;1
DUS-MUC;Economy;1
DUS-MUC;Economy;1
TXL-FRA;Economy;1
PMI-CGN;Economy;1
FRA-TXL;Economy;1
FRA-TXL;Economy;1
FRA-TXL;Economy;1
FRA-BRS;Economy;1
HAM-CGN;Economy;1
MUC-CGN;Economy;1
CGN-MUC;Economy;1
TXL-DUS;Economy;1
CGN-LEJ;Economy;1
HAM-DUS;Economy;1
HAM-NUE;Economy;1
CGN-LEJ;Economy;1
DUS-MUC;Economy;1
FRA-TXL;Economy;1
TXL-FRA;Economy;1
FRA-TXL;Economy;1
TXL-FRA;Economy;1
CGN-TXL;Economy;1
MUC-TXL;Economy;1
FRA-HAM;Economy;1
HAM-FRA;Economy;1
TXL-CGN;Economy;1
TXL-FRA;Economy;1
FRA-TXL;Economy;1
MUC-CGN;Economy;1
CGN-HAM;Economy;1
MUC-HAM;Economy;1
HAM-FRA;Economy;1
HAM-CGN;Economy;1
TXL-CGN;Economy;1
MUC-CGN;Economy;1
CGN-TXL;Economy;1
TXL-CGN;Economy;1
TXL-CGN;Economy;1
TXL-DUS;Economy;1
DUS-MAN;Economy;1
DUS-MAN;Economy;1
DUS-DRS;Economy;1
LEJ-DUS;Economy;1
CGN-MUC;Economy;1
CGN-MUC;Economy;1
CGN-MUC;Economy;1
MAN-DUS;Economy;1
MAN-DUS;Economy;1
MAN-DUS;Economy;1
MAN-DUS;Economy;1
MAN-DUS;Economy;1
MAN-DUS;Economy;1
MAN-DUS;Economy;1
MAN-DUS;Economy;1
MAN-FRA;Economy;1
MUC-CGN;Economy;1
MUC-CGN;Economy;1
CGN-MUC;Economy;1
CGN-TXL;Economy;1
FRA-LHR;Economy;1
LHR-FRA;Economy;1
FRA-TXL;Economy;1
HAM-DUS;Economy;1
MUC-CGN;Economy;1
MUC-CGN;Economy;1
MUC-CGN;Economy;1
CGN-MUC;Economy;1
CGN-MUC;Economy;1
CGN-MUC;Economy;1
DUS-FAO;Economy;1
MUC-CGN;Economy;1
MUC-CGN;Economy;1
MUC-CGN;Economy;1
MUC-CGN;Economy;1
CGN-MUC;Economy;1
CGN-MUC;Economy;1
CGN-MUC;Economy;1
MUC-DUS;Economy;1
DUS-LEJ;Economy;1
LEJ-DUS;Economy;1
FMO-PMI;Economy;1
CGN-PMI;Economy;1
PMI-FMM;Economy;1
MUC-CGN;Economy;1
TXL-CGN;Economy;1
CGN-PMI;Economy;1
PMI-FRA;Economy;1
MUC-CGN;Economy;1
TXL-CGN;Economy;1
FRA-TXL;Economy;1
CGN-TXL;Economy;1
CGN-TXL;Economy;1
CGN-MUC;Economy;1
TXL-CGN;Economy;1
CGN-TXL;Economy;1
HAM-DUS;Economy;1
TXL-CGN;Economy;1
MUC-CGN;Economy;1
MUC-CGN;Economy;1
