id;weight_in_kg;number_packages;origin;destination
111843;3,03;1;Pfänderstrasse  50-52  DE - 88161 Lindenberg;Liebherr Elektronik GmbH W006113 91  Peter-Dornier-Straße 11    DE - 88131 Lindau
117392;9,73;1;Pfänderstrasse  50-52  DE - 88161 Lindenberg;Liebherr Transpotation Sys Marica W006246 213  Liebherr Transportation - - 4204 Tsaracovo
107655;150,99;1;Pfänderstrasse  50-52  DE - 88161 Lindenberg;Liebherr- Aerospace Toulouse SAS 499999 91  408, avenue des Etats- Unis BP-52010    FR - 31016 Toulouse Cedex 2
115622;3,15;1;Pfänderstrasse  50-52  DE - 88161 Lindenberg;LIEBHERR-AEROSPACE TOULOUSE S.A.S. 801040 213  11 rue Gustave Eiffel    FR - 31140 AUCAMVILLE
111392;3,31;1;Pfänderstrasse  50-52  DE - 88161 Lindenberg;LIEBHERR-AEROSPACE TOULOUSE S.A.S. 801040 658  11 rue Gustave Eiffel    FR - 31140 AUCAMVILLE
111358;4,09;1;Pfänderstrasse  50-52  DE - 88161 Lindenberg;LIEBHERR-AEROSPACE TOULOUSE S.A.S. 801040 658  11 rue Gustave Eiffel    FR - 31140 AUCAMVILLE
109137;4,1;3;Pfänderstrasse  50-52  DE - 88161 Lindenberg;LIEBHERR-AEROSPACE TOULOUSE S.A.S. 801040 658  11 rue Gustave Eiffel    FR - 31140 AUCAMVILLE
115664;0,57;1;Pfänderstrasse  50-52  DE - 88161 Lindenberg;LIEBHERR-AEROSPACE TOULOUSE SAS SUPL65005 658  408 AVENUE DES ETATS-UNIS    FR - 31016 TOULOUSE CEDEX
112163;7,87;1;Pfänderstrasse  50-52  DE - 88161 Lindenberg;Liebherr-Aerospace Toulouse SAS W005993 213  Avenue des Etats-Unis 408    FR - 31016 Toulouse
112137;8,36;1;Pfänderstrasse  50-52  DE - 88161 Lindenberg;Liebherr-Aerospace&Transportation 401073 672  Hein-Sass-Weg 22    DE - 21129 Hamburg
112030;73,8;5;Pfänderstrasse  50-52  DE - 88161 Lindenberg;Liebherr-Campsas 801040 213  B.P. 1    FR - 82370 Campsas
114233;136;1;Pfänderstrasse  50-52  DE - 88161 Lindenberg;Liebherr-Components Biberach GmbH W006175 197  Hans-Liebherr-Strasse 45    DE - 88400 Biberach an der Riß
116195;143;1;Pfänderstrasse  50-52  DE - 88161 Lindenberg;Liebherr-Components Deggendorf GmbH 803160 197  Kreuzaecker 8    DE - 94469 Deggendorf
110838;155;1;Pfänderstrasse  50-52  DE - 88161 Lindenberg;Liebherr-Components Deggendorf GmbH 803160 197  Kreuzaecker 8    DE - 94469 Deggendorf
112049;11,52;1;Pfänderstrasse  50-52  DE - 88161 Lindenberg;Liebherr-Components Deggendorf GmbH W006110 667  Kreuzäcker  8    DE - 94469 Deggendorf
114145;62,4;1;Pfänderstrasse  50-52  DE - 88161 Lindenberg;Liebherr-Components Kirchdorf GMBH W006165 667  St. Vitus  1    DE - 88457 Kirchdorf
118002;19,74;1;Pfänderstrasse  50-52  DE - 88161 Lindenberg;Liebherr-Elektronik GmbH W006261 160  Peter-Dornier-Strasse  11    DE - 88131 Lindau
118092;7,06;1;Pfänderstrasse  50-52  DE - 88161 Lindenberg;Liebherr-Hausgeräte Marica EOOD W006250 210  Plovdivska Obl. - - 4202 Radinovo
107645;27;1;Pfänderstrasse  50-52  DE - 88161 Lindenberg;Liebherr-Hausgeräte Ochsenhausen W006059 197  Memminger Strasse 77    DE - 88416 Ochsenhausen
118159;9,36;1;Pfänderstrasse  50-52  DE - 88161 Lindenberg;Liebherr-Russland OOO 809149 213  ul. 1-ja Borodinskaja, 5 - 121059 MOSKAU
111027;1,59;1;Pfänderstrasse  50-52  DE - 88161 Lindenberg;List-Magnetik GmbH W006121 669  Max-Lang-Strasse 56 2    DE - 70771 Leinfelden-Echterdinge
108971;205;1;Pfänderstrasse  50-52  DE - 88161 Lindenberg;Logistik Park Ehingen W006098 91  In der Wachau  1    DE - 89584 Ehingen-Berg
114134;265;1;Pfänderstrasse  50-52  DE - 88161 Lindenberg;Logistik Park Ehingen W006166 91  In der Wachau 1    DE - 89584 Ehingen-Berg
112846;0,2;1;Pfänderstrasse  50-52  DE - 88161 Lindenberg;Lufthansa Cityline GmbH 499999 197  Südallee 15    DE - 85356 München
112118;5,75;1;Pfänderstrasse  50-52  DE - 88161 Lindenberg;LUFTHANSA TECHNIK  AG c/o Lufthansa 400403 197  HAM UE/SI, Goods Receiving    DE - 22335 Hamburg
109214;0,99;1;Pfänderstrasse  50-52  DE - 88161 Lindenberg;LUFTHANSA TECHNIK  AG c/o Lufthansa 400403 197  HAM UE/SI, Goods Receiving    DE - 22335 Hamburg
111054;7,25;1;Pfänderstrasse  50-52  DE - 88161 Lindenberg;LUFTHANSA TECHNIK  AG c/o Lufthansa 400403 681  HAM UE/SI, Goods Receiving    DE - 22335 Hamburg
114711;2,3;1;Pfänderstrasse  50-52  DE - 88161 Lindenberg;Lufthansa Technik AG 400403 197  FRAU UE/BR1 Geb.516 Goods Rec.    DE - 60549 Frankfurt/Main
114229;8,84;1;Pfänderstrasse  50-52  DE - 88161 Lindenberg;Lufthansa Technik AG 400403 197  FRAU UE/BR1 Geb.516 Goods Rec.    DE - 60549 Frankfurt/Main
112848;1,3;3;Pfänderstrasse  50-52  DE - 88161 Lindenberg;Lufthansa Technik AG 400403 197  FRAU UE/BR1 Geb.516 Goods Rec.    DE - 60549 Frankfurt/Main
111401;32;1;Pfänderstrasse  50-52  DE - 88161 Lindenberg;Lufthansa Technik AG 400403 197  FRAU UE/BR1 Geb.516 Goods Rec.    DE - 60549 Frankfurt/Main
107643;5,87;1;Pfänderstrasse  50-52  DE - 88161 Lindenberg;Lufthansa Technik AG 400403 197  FRAU UE/BR1 Geb.516 Goods Rec.    DE - 60549 Frankfurt/Main
113683;1,12;1;Pfänderstrasse  50-52  DE - 88161 Lindenberg;LUFTHANSA TECHNIK AG 400403 197  Warenannahme HAM UH/BR/LRU    DE - 22335 HAMBURG
109062;1,38;3;Pfänderstrasse  50-52  DE - 88161 Lindenberg;LUFTHANSA TECHNIK AG 400403 197  Warenannahme HAM UH/BR/LRU    DE - 22335 HAMBURG
107255;81;2;Pfänderstrasse  50-52  DE - 88161 Lindenberg;LUFTHANSA TECHNIK AG c/o LUFTHANSA 400404 197  FRA UE/SI, Geb 516 Goods Recei    DE - 60549 Frankfurt/Main Airport
118170;1,63;1;Pfänderstrasse  50-52  DE - 88161 Lindenberg;Lufthansa Technik AG c/o Lufthansa 400404 197  HAM UE/SI, Goods Receiving    DE - 22335 Hamburg
118166;3,43;1;Pfänderstrasse  50-52  DE - 88161 Lindenberg;Lufthansa Technik AG c/o Lufthansa 400404 197  HAM UE/SI, Goods Receiving    DE - 22335 Hamburg
117356;0,41;2;Pfänderstrasse  50-52  DE - 88161 Lindenberg;Lufthansa Technik AG c/o Lufthansa 400404 197  HAM UE/SI, Goods Receiving    DE - 22335 Hamburg
115539;2;1;Pfänderstrasse  50-52  DE - 88161 Lindenberg;Lufthansa Technik AG c/o Lufthansa 400404 197  HAM UE/SI, Goods Receiving    DE - 22335 Hamburg
114707;0,98;3;Pfänderstrasse  50-52  DE - 88161 Lindenberg;Lufthansa Technik AG c/o Lufthansa 400404 197  HAM UE/SI, Goods Receiving    DE - 22335 Hamburg
111412;0,68;1;Pfänderstrasse  50-52  DE - 88161 Lindenberg;Lufthansa Technik AG c/o Lufthansa 400404 197  HAM UE/SI, Goods Receiving    DE - 22335 Hamburg
109758;0,27;1;Pfänderstrasse  50-52  DE - 88161 Lindenberg;Lufthansa Technik AG c/o Lufthansa 400404 197  HAM UE/SI, Goods Receiving    DE - 22335 Hamburg
109066;0,33;7;Pfänderstrasse  50-52  DE - 88161 Lindenberg;Lufthansa Technik AG c/o Lufthansa 400404 197  HAM UE/SI, Goods Receiving    DE - 22335 Hamburg
107903;9,88;3;Pfänderstrasse  50-52  DE - 88161 Lindenberg;Lufthansa Technik AG c/o Lufthansa 400404 197  HAM UE/SI, Goods Receiving    DE - 22335 Hamburg
107649;0,49;2;Pfänderstrasse  50-52  DE - 88161 Lindenberg;Lufthansa Technik AG c/o Lufthansa 400404 197  HAM UE/SI, Goods Receiving    DE - 22335 Hamburg
107253;4,2;1;Pfänderstrasse  50-52  DE - 88161 Lindenberg;Lufthansa Technik AG c/o Lufthansa 400404 197  HAM UE/SI, Goods Receiving    DE - 22335 Hamburg
117365;306;2;Pfänderstrasse  50-52  DE - 88161 Lindenberg;LUFTHANSA TECHNIK AG SUP641910 197  WEG BEIM JAEGER 193    DE - 22335 HAMBURG
116191;330;1;Pfänderstrasse  50-52  DE - 88161 Lindenberg;LUFTHANSA TECHNIK AG SUP641910 197  WEG BEIM JAEGER 193    DE - 22335 HAMBURG
112109;289;1;Pfänderstrasse  50-52  DE - 88161 Lindenberg;LUFTHANSA TECHNIK AG SUP641910 197  WEG BEIM JAEGER 193    DE - 22335 HAMBURG
110829;325,5;1;Pfänderstrasse  50-52  DE - 88161 Lindenberg;LUFTHANSA TECHNIK AG SUP641910 197  WEG BEIM JAEGER 193    DE - 22335 HAMBURG
110668;328;1;Pfänderstrasse  50-52  DE - 88161 Lindenberg;LUFTHANSA TECHNIK AG SUP641910 639  WEG BEIM JAEGER 193    DE - 22335 HAMBURG
109688;322;2;Pfänderstrasse  50-52  DE - 88161 Lindenberg;LUFTHANSA TECHNIK AG SUP641910 639  WEG BEIM JAEGER 193    DE - 22335 HAMBURG
109592;307;1;Pfänderstrasse  50-52  DE - 88161 Lindenberg;LUFTHANSA TECHNIK AG SUP641910 639  WEG BEIM JAEGER 193    DE - 22335 HAMBURG
107205;217;2;Pfänderstrasse  50-52  DE - 88161 Lindenberg;LUFTHANSA TECHNIK AG SUP641910 639  WEG BEIM JAEGER 193    DE - 22335 HAMBURG
111379;0,56;1;Pfänderstrasse  50-52  DE - 88161 Lindenberg;Lufthansa Technik Budapest 500826 668  Ferenc Liszt Internat.Airport    HU - 1185 Budapest
