origin,destination,number of trips,CO2 in grams
"berlin,10247","schlepkow,uckermark",1,27164
"berlin,10247","schönhagen,rendsburg-eckernförde",1,87264
"berlin,10249","zerpenschleuse,barnim",1,10179
"berlin,10315","gerolstein,vulkaneifel",1,144075
"berlin,10315","hafendorf,mecklenburgische seenplatte",1,28603
"berlin,10318","schnarrtanne,chemnitz",1,61789
"berlin,10319","friedrichskoog-spitze,dithmarschen",1,94654
"berlin,10319","hafendorf,mecklenburgische seenplatte",1,29108
"berlin,10365","rankwitz,ostvorpommern",1,43079
"berlin,10367","glowe,rügen",1,60856
"berlin,10367","hohendorf,nordvorpommern",1,45059
"berlin,10367","priwall peninsula,lübeck",1,62701
"berlin,10405","groß nemerow,mecklenburgische seenplatte",1,28113
"berlin,10405","ostseebad,rügen",1,54466
"berlin,10407","zingst,nordvorpommern",1,58077
"berlin,10409","ehlenbogen,karlsruhe",1,156030
"berlin,10437","priwall peninsula,lübeck",1,61238
"berlin,10439","oranienburg,oberhavel",1,6783
"berlin,10555","frohnhausen,düsseldorf",1,120734
"berlin,10557","zingst,nordvorpommern",1,58052
"berlin,10559","bad saarow,oder-spree",1,14912
"berlin,10559","born a. darß,nordvorpommern",1,56881
"berlin,10559","priwall peninsula,lübeck",1,60758
"berlin,10585","bad saarow,oder-spree",1,15350
"berlin,10709","süder-waygaard,nordfriesland",1,102514
"berlin,10709","wenningstedt-braderup,nordfriesland",1,113196
"berlin,10717","wustrow,nordvorpommern",1,57596
"berlin,10777","burhave,wesermarsch",1,94449
"berlin,10777","schlicht,mecklenburgische seenplatte",1,25915
"berlin,10785","köln-altstadt-nord,cologne",1,126688
"berlin,10785","neukalen,demmin",1,40325
"berlin,10825","braunlage,goslar",1,54664
"berlin,10829","dörgenhausen,dresden government region",1,35120
"berlin,10965","rerik,rostock",1,57620
"berlin,10965","warnemünde,rostock",1,55256
"berlin,10967","zechlinerhütte,ostprignitz-ruppin",1,22119
"berlin,10997","priwall peninsula,lübeck",1,62510
"berlin,10999","dieksanderkoog,dithmarschen",1,91301
"berlin,10999","thiessow,rügen",1,53203
"berlin,11111","alt travemünde - rönnau,lübeck",1,1716701
"berlin,11111","bahnhofsviertel,darmstadt",1,1723890
"berlin,12043","bayerisch gmain,upper bavaria",1,141685
"berlin,12045","babelsberg nord,potsdam-mittelmark",1,6697
"berlin,12047","dahmsdorf,oder-spree",1,12777
"berlin,12047","rutenberg,uckermark",1,22734
"berlin,12055","schlettau,chemnitz",1,57575
"berlin,12055","wandlitz,barnim",1,8412
"berlin,12103","alt travemünde - rönnau,lübeck",1,63051
"berlin,12103","thomsdorf,uckermark",1,24375
"berlin,12105","kühlungsborn ost,rostock",1,58269
"berlin,12105","spahl,wartburgkreis",1,83166
"berlin,12107","dagebüll,nordfriesland",1,107103
"berlin,12107","röbel,mecklenburgische seenplatte",1,31371
"berlin,12109","kühlungsborn ost,rostock",1,58430
"berlin,12159","westerland,nordfriesland",1,114156
"berlin,12163","ahrenshoop,nordvorpommern",1,59098
"berlin,12163","büsum,dithmarschen",1,93451
"berlin,12163","fehmarn,ostholstein",1,71051
"berlin,12163","priwall peninsula,lübeck",1,61862
"berlin,12165","bansin,ostvorpommern",1,47215
"berlin,12167","gronenberg,ostholstein",1,66408
"berlin,12167","innenstadt,lübeck",1,63102
"berlin,12167","ketelsby,schleswig-flensburg",1,88874
"berlin,12205","ostseebad,rügen",1,57691
"berlin,12205","weimar,weimarer land",1,54148
"berlin,12209","britten,merzig-wadern",1,151258
"berlin,12209","krakow am see,rostock",1,41186
"berlin,12277","zirchow,ostvorpommern",1,45957
"berlin,12279","ueckermünde,uecker-randow",1,41220
"berlin,12279","zinnowitz,ostvorpommern",1,50426
"berlin,12309","binz,rügen",1,59859
"berlin,12347","malchow,müritz",1,35461
"berlin,12347","sandbrink,diepholz",1,91592
"berlin,12351","tossens,wesermarsch",1,98796
"berlin,12357","schönberger strand,plön",1,80297
"berlin,12359","kölpinsee,ostvorpommern",1,48324
"berlin,12435","ilversgehofen,erfurt",1,62868
"berlin,12439","rittersgrün,chemnitz",1,60185
"berlin,12459","jordanshöhe,goslar",1,59071
"berlin,12459","loddin,ostvorpommern",1,47432
"berlin,12459","torgau,leipzig",1,28558
"berlin,12487","graal,rostock",1,58298
"berlin,12524","bad saarow,oder-spree",1,10095
"berlin,12526","jamitzow,ostvorpommern",1,45288
"berlin,12555","sobrigau,dresden government region",1,44173
"berlin,12555","thale,harz",1,51057
"berlin,12557","boltenhagen,nordwestmecklenburg",1,62730
"berlin,12557","karlshagen,ostvorpommern",1,50301
"berlin,12557","wildemann,goslar",1,62819
"berlin,12559","bodenmais,lower bavaria",1,99937
"berlin,12559","tetenbüll,nordfriesland",1,102934
"berlin,12559","wustrow,nordvorpommern",1,61521
"berlin,12587","wangern,nordwestmecklenburg",1,60188
"berlin,12589","großenbrode,ostholstein",1,73391
"berlin,12589","sankt peter-ording,nordfriesland",1,105094
"berlin,12589","seebad heringsdorf,ostvorpommern",1,45527
"berlin,12621","zingst,nordvorpommern",1,59507
"berlin,12623","boltenhagen,nordwestmecklenburg",1,61279
"berlin,12623","bärenfels,dresden government region",1,50785
"berlin,12623","zempin,ostvorpommern",1,46866
"berlin,12627","bergen auf rügen,rügen",1,55856
"berlin,12627","hafendorf,mecklenburgische seenplatte",1,28945
"berlin,12627","kappeln,schleswig-flensburg",1,90546
"berlin,12629","struckum,nordfriesland",1,101325
"berlin,12679","farchant,upper bavaria",1,156229
"berlin,12679","rhoda,erfurt",1,67062
"berlin,12683","zingst,nordvorpommern",1,59567
"berlin,12685","ostseebad,rügen",1,54179
"berlin,12685","pepelow,rostock",1,56638
"berlin,12685","warnemünde,rostock",1,55195
"berlin,12687","steinheid,sonneberg",1,77120
"berlin,13051","sellin,rügen",1,53433
"berlin,13053","bad sachsa,landkreis osterode am harz",1,64160
"berlin,13053","bansin,ostvorpommern",1,43423
"berlin,13053","feichten,upper bavaria",1,134048
"berlin,13053","sellin,rügen",1,54191
"berlin,13055","bad saarow,oder-spree",1,12767
"berlin,13055","gollendorf,ostholstein",1,71418
"berlin,13055","mönkebüll,nordfriesland",1,102211
"berlin,13059","waren,müritz",1,31620
"berlin,13059","zierow,nordwestmecklenburg",1,55293
"berlin,13088","frohnau,chemnitz",1,1596742
"berlin,13088","hohegeiß,goslar",1,57717
"berlin,13088","karlshagen,ostvorpommern",1,46607
"berlin,13088","treptow-köpenick,treptow-köpenick",1,4879
"berlin,13089","baabe,rügen",1,53420
"berlin,13125","ahlbeck,ostvorpommern",1,40846
"berlin,13125","ostseebad,rügen",1,51472
"berlin,13125","renholding,lower bavaria",1,117847
"berlin,13125","wieck a. darß,nordvorpommern",1,55070
"berlin,13156","glowe,rügen",1,59047
"berlin,13158","kappeln,schleswig-flensburg",1,86522
"berlin,13158","vordergeiersberg,upper franconia",1,82240
"berlin,13187","bad schmiedeberg,wittenberg",1,29088
"berlin,13187","dierkow-west,rostock",1,50764
"berlin,13187","jordanshöhe,goslar",1,58411
"berlin,13187","kappeln,schleswig-flensburg",1,87307
"berlin,13187","mitte,mitte",1,1567
"berlin,13189","heiligenhafen,ostholstein",1,68989
"berlin,13347","priwall peninsula,lübeck",1,60594
"berlin,13349","binz,rügen",1,54951
"berlin,13353","malchow,müritz",1,32417
"berlin,13355","sellin,rügen",1,54762
"berlin,13403","priwall peninsula,lübeck",1,59498
"berlin,13403","sassnitz,rügen",1,57945
"berlin,13409","treptow-köpenick,treptow-köpenick",1,6307
"berlin,13435","altenhof,barnim",1,11425
"berlin,13435","zingst,nordvorpommern",1,55677
"berlin,13439","sassnitz,rügen",1,57265
"berlin,13503","hafendorf,mecklenburgische seenplatte",1,23915
"berlin,13507","scharbeutz,ostholstein",1,61996
"berlin,13507","zingst,nordvorpommern",1,56223
"berlin,13509","priwall peninsula,lübeck",1,58988
"berlin,13509","staberdorf,ostholstein",1,65036
"berlin,13509","tinnum,nordfriesland",1,111079
"berlin,13581","lohme,rügen",1,61435
"berlin,13587","sankt andreasberg,goslar",1,55034
"berlin,13589","dahmsdorf,oder-spree",1,18087
"berlin,13593","grambin,uecker-randow",1,39712
"berlin,13593","jordanshöhe,goslar",1,53760
"berlin,13595","wüstensachsen,kassel",1,83833
"berlin,13597","hafendorf,mecklenburgische seenplatte",1,25988
"berlin,13599","retzow,uckermark",1,20263
"berlin,13599","schmölz,upper bavaria",1,156267
"berlin,13599","soderstorf,lüneburg",1,58192
"berlin,14057","prerow,nordvorpommern",1,58807
"berlin,14059","otterndorf,cuxhaven",1,86998
"berlin,14089","krummsee,mecklenburgische seenplatte",1,35169
"berlin,14129","ostseebad,rügen",1,58005
"berlin,14165","göhren-lebbin,mecklenburgische seenplatte",1,34243
"berlin,14165","sankt andreasberg,goslar",1,54230
"berlin,14167","zirchow,ostvorpommern",1,46268
"berlin,14193","ahlbeck,ostvorpommern",1,47078
"berlin,14193","zinnowitz,ostvorpommern",1,49340
"berlin,14195","rerik,rostock",1,57387
"berlin spandau,13595","wyk auf föhr,nordfriesland",1,104231
"bernau,16321","freest,ostvorpommern",1,43117
"bernau,16321","glücksburg,schleswig-flensburg",1,95050
"bernau,16321","hohenfelde,rostock",1,50698
"bernburg,6406","müritz,rostock",1,72943
"bernburg,6406","wieck a. darß,nordvorpommern",1,79320
"bernburg,6406","zingst,nordvorpommern",1,80505
"bernstadt,2748","roßbach,neuwied",1,139738
"bersenbrück,49593","haldern,düsseldorf",1,35522
"bestensee,15741","dagebüll,nordfriesland",1,114717
"betzdorf,57518","waddens,wesermarsch",1,83014
"bevern,37639","waren,müritz",1,75619
"biberach,88400","deggenhausertal,tübingen",1,12329
"bickenbach,64404","schilksee,plön",1,141375
"bickenbach,64404","silberberg,lower bavaria",1,89188
"biedenkopf,35216","fedderwardersiel,wesermarsch",1,79720
"bielefeld,33602","burhave,wesermarsch",1,46264
"bielefeld,33605","büsum,dithmarschen",1,63567
"bielefeld,33611","rankwitz,ostvorpommern",1,111397
"bielefeld,33617","jordanshöhe,goslar",1,37603
"bielefeld,33619","zingst,nordvorpommern",1,103250
"bielefeld,33647","gstadt am chiemsee,upper bavaria",1,142908
"bielefeld,33659","niederaula,kassel",1,39856
"bielefeld,33689","saalfeld,saalfeld-rudolstadt",1,64312
"bielefeld,33699","laboe,plön",1,77213
"bielefeld,33719","großenbrode,ostholstein",1,82396
"bielefeld,33719","grömitz,ostholstein",1,75869
"bielefeld,33729","grömitz,ostholstein",1,74688
"bielefeld,33739","büsum,dithmarschen",1,61167
"bielefeld,33739","ditzumerverlaat,leer",1,41548
"bielefeld,33739","olpenitzdorf,schleswig-flensburg",1,80940
"bielefeld,33739","tossens,wesermarsch",1,44431
"bielefeld jöllenbeck,33739","schluchsee,freiburg",1,127177
"bingen am rhein,55411","frohnhausen,düsseldorf",1,48142
"birkenfeld,75217","prechtal,freiburg",1,22578
"birkenwerder,16547","kühlungsborn-west,rostock",1,51287
"birkenwerder,16547","rerik,rostock",1,51304
"birlenbach,65626","telgte,münster",1,48499
"bismark/ot schinne,39628","jamitzow,ostvorpommern",1,53108
"bitburg-mötsch,54634","lenzkirch,freiburg",1,70019
"bitterfeld-wolfen,6766","zirchow,ostvorpommern",1,74254
"blankenfelde-mahlow,15827","alt travemünde - rönnau,lübeck",1,66452
"blankenfelde-mahlow,15827","diesdorf,magdeburg",1,34229
"blankenfelde-mahlow,15831","zingst,nordvorpommern",1,63069
"bleckede,21354","stickhausen,leer",1,53840
"bleicherode,99752","rerik,rostock",1,81329
"bliedersdorf,21640","mockritz,dresden government region",1,105494
"blieskastel,66440","steinbergkirche,schleswig-flensburg",1,170062
"blumenthsl,24241","sankt peter-ording,nordfriesland",1,23527
"bocholt,46397","nordhorn,bentheim",1,19007
"bocholt,46399","glowe,rügen",1,146415
"bocholt,46399","höhenberg,cologne",1,27885
"bocholt,46399","stammheim,cologne",1,26477
"bochum,44789","krakow am see,rostock",1,111797
"bochum,44795","au,swabia",1,113095
"bochum,44795","grömitz,ostholstein",1,104888
"bochum,44797","burhave,wesermarsch",1,67228
"bochum,44801","alt travemünde - rönnau,lübeck",1,98932
"bochum,44803","dorumer neufeld,cuxhaven",1,70863
"bochum,44805","langewiese,arnsberg",1,24560
"bochum,44807","kühlungsborn,rostock",1,112637
"bochum,44809","beningafehn,leer",1,54601
"bochum,44809","mittelnkirchen,stade",1,74822
"bochum,44809","wremen,cuxhaven",1,68047
"bochum,44867","dissen,kassel",1,42936
"bochum,44867","priwall peninsula,lübeck",1,99885
"bochum,44867","sandbrink,diepholz",1,38502
"bochum,44867","sankt peter-ording,nordfriesland",1,88656
"bochum,44869","neuastenberg,arnsberg",1,26020
"bochum,44869","wissinghausen,arnsberg",1,28191
"bochum,44879","burhafe,wittmund",1,65216
"bochum,44892","minsen,friesland",1,67372
"bochum,44894","wilhelmshaven,wilhelmshaven",1,62280
"bockenem,31167","zirchow,ostvorpommern",1,91151
"bockhorn,26345","norderteil,cuxhaven",1,20437
"bodenwöhr,92439","hofstetten,freiburg",1,88213
"bohmte,49163","süderwisch,cuxhaven",1,42919
"boizenburg,19258","cumbach,saalfeld-rudolstadt",1,80003
"boizenburg,19258","heringsdorf,ostholstein",1,27772
"boizenburg,19258","hohe,holzminden",1,48067
"boizenburg/ elbe,19258","boltenhagen,nordwestmecklenburg",1,19917
"bonn,53111","schönau am königssee,upper bavaria",1,147558
"bonn,53117","burg auf fehmarn,ostholstein",1,132164
"bonn,53117","timmendorfer strand,ostholstein",1,117173
"bonn,53121","langfurth,lower bavaria",1,130668
"bonn,53175","wieck a. darß,nordvorpommern",1,147610
"bonn,53179","hooksiel,friesland",1,89561
"bonn,53179","lierfeld,bitburg-prüm",1,22043
"bonn,53227","feriendorf freilingen,cologne",1,11864
"bonn,53227","goting,nordfriesland",1,120049
"boostedt,24598","kappeln,schleswig-flensburg",1,19674
"boostedt,24598","wackerballig,schleswig-flensburg",1,22593
"boostedt,24598","zinnowitz,ostvorpommern",1,67139
"borgholzhausen,33829","wesseloh,heidekreis",1,41586
"borgwedel,24857","kappeln,schleswig-flensburg",1,6482
"borken,46325","wenningstedt-braderup,nordfriesland",1,95449
"borkheide,14822","vieregge,rügen",1,70023
"borkum,26757","ahrenshoop,nordvorpommern",1,103065
"borna,4552","bad gögging,lower bavaria",1,69862
"borna,4552","rechenberg-bienenmühle,chemnitz",1,23042
"bornheim,53332","medebach,arnsberg",1,34778
"bornhöved,24619","tönning,nordfriesland",1,23556
"bottrop,46238","hafendorf,mecklenburgische seenplatte",1,117866
"bottrop,46242","nesse,aurich",1,63775
"bottrop,46242","neuastenberg,arnsberg",1,31290
"bovenden,37120","pelzerhaken,ostholstein",1,76190
"brackel,21438","sandwehle,nordfriesland",1,37979
"brackenheim,74336","cranzahl,chemnitz",1,86142
"brakel,33034","großenbrode,ostholstein",1,85557
"brandenburg,14770","ostseebad,rügen",1,61677
"brandenburg,14772","ahlbeck,ostvorpommern",1,53660
"brandenburg,14776","carolinensiel,wittmund",1,93338
"brandenburg,14776","saal,nordvorpommern",1,57131
"brandenburg an der havel,14770","prora,rügen",1,63145
"brandenburg an der havel,14770","stralsund,nordvorpommern",1,57468
"brandis,4821","vitzdorf,ostholstein",1,1797797
