origin,destination,number of trips,CO2 in grams
"gelsenkirchen,45886","zierow,nordwestmecklenburg",1,105134
"gelsenkirchen,45888","nesse,aurich",1,63596
"gelsenkirchen,45889","borken,münster",1,10388
"gelsenkirchen,45891","bürgerpark,bremerhaven",1,64859
"gelsenkirchen,45891","norddeich,aurich",1,61114
"gelsenkirchen,45892","husum,nordfriesland",1,93329
"gelsenkirchen,45892","niendorf/ostsee,ostholstein",1,98160
"gelsenkirchen,45892","olpenitzdorf,schleswig-flensburg",1,105403
"gelsenkirchen,45896","stolberg (rhineland),cologne",1,28947
"gelsenkirchen,45897","ediger-eller,cochem-zell",1,43682
"gelsenkirchen,45897","westerland,nordfriesland",1,101837
"gelsenkirchen,45899","burg auf fehmarn,ostholstein",1,113991
"georgenthal,99887","höfen,cologne",1,83403
"georgsmarienhütte,49124","wangerooge,friesland",1,47211
"georgsmarienhütte,49124","waren,müritz",1,91770
"gera,7548","groschwitz,saalfeld-rudolstadt",1,15448
"gera,7549","lobbe,rügen",1,107426
"geratal,99331","zingst,nordvorpommern",1,114867
"gerau,4683","sandbrink,diepholz",1,77085
"gerbrunn,97218","schwarzenbach am wald,upper franconia",1,34615
"germany,10965","schwöb,upper bavaria",1,145114
"germering,82100","tretting,upper palatinate",1,43953
"germering,82110","altstadt,middle franconia",1,39699
"germering,82110","stellichte,heidekreis",1,146840
"gersdorf,1920","altefähr,rügen",1,1645470
"gersfeld,36129","ediger-eller,cochem-zell",1,53488
"gersheim,66453","marquartstein,upper bavaria",1,111124
"gerstetten-heuchlingen,89547","obereßfeld,lower franconia",1,50553
"gescher,48712","westerhever,nordfriesland",1,78033
"gettorf,24214","hohwacht,plön",1,12160
"giessen,35390","fuchsberg,upper palatinate",1,77984
"giessen,35398","aschersleben,salzlandkreis",1,63455
"gießen,35390","sandbrink,diepholz",1,57592
"gießen,35396","niendorf/ostsee,ostholstein",1,107654
"gifhorn,38518","burhave,wesermarsch",1,49878
"gifhorn,38518","gifhorn,gifhorn",1,930
"gifhorn,38518","heringsdorf,ostholstein",1,54076
"gifhorn,38618","gifhorn,gifhorn",1,0
"gladbeck,45964","norddeich,aurich",1,60698
"gladbeck,45966","born,detmold",1,36615
"gladbeck,45968","heringsdorf,ostholstein",1,108589
"gladenbach-weidenhausen,35075","dittishausen,freiburg",1,84897
"gleschendorf,23684","jordanshöhe,goslar",1,68636
"glienicke/nordbahn,16548","hohwacht,plön",1,68923
"glienicke/nordbahn,16548","osterdeich,nordfriesland",1,96480
"glindenberg,39326","jordanshöhe,goslar",1,26241
"glindenberg,39326","pouch,anhalt-bitterfeld",1,22552
"glindenberg,39326","zirchow,ostvorpommern",1,65687
"glückstadt,25348","ahlbeck,ostvorpommern",1,83498
"glückstadt,25348","alt travemünde - rönnau,lübeck",1,25876
"glückstadt,25348","niendorf,nordwestmecklenburg",1,25785
"glückstadt,25348","ostseebad,rügen",1,76488
"goch,47574","kappeln,schleswig-flensburg",1,110716
"gochsheim,97469","dießen am ammersee,upper bavaria",1,63533
"goerlitz,2826","blankenburg,harz",1,76561
"gommern,39245","ahlbeck,ostvorpommern",1,69678
"gornau,9405","eibenstock,chemnitz",1,11674
"goslar,38640","alt travemünde - rönnau,lübeck",1,61617
"goslar,38642","hüttenbusch,osterholz",1,48657
"gotha,99867","krakow am see,rostock",1,85122
"gotha,99867","thal,wartburgkreis",1,5760
"grambow,19071","kappeln,schleswig-flensburg",1,38797
"grammetal,99428","bastorf,rostock",1,94563
"greifswald,17489","winterberg,arnsberg",1,122387
"grevenbroich,41515","carolinensiel,wittmund",1,80491
"grevenbroich,41516","esens,wittmund",1,77475
"grevenbroich,41516","hooksiel,friesland",1,79121
"grevenbroich,41516","höfen,cologne",1,18344
"grevenbroich,41516","winterberg,arnsberg",1,35458
"grevesmühlen,23936","schlettau,chemnitz",1,103180
"griesheim,64347","reimboldshausen,kassel",1,33808
"grimma ot mutzschen,4668","häusles,upper franconia",1,43566
"gronau,48599","epe,münster",1,315
"gronau,48599","seibranz,tübingen",1,139284
"grossvargula,99958","blankenburg,harz",1,21097
"groß kreutz (havel),14550","kühlungsborn,rostock",1,54961
"groß wokern,17166","prerow,nordvorpommern",1,20528
"groß-zimmern,64846","hafendorf,mecklenburgische seenplatte",1,125959
"groß-zimmern,64846","sandbrink,diepholz",1,78960
"großbottwar,71723","bach,upper bavaria",1,70033
"großbreitenbach ot altenfeld,98701","stessen,düsseldorf",1,84287
"großefehn,26629","ruhpolding,upper bavaria",1,192057
"großenbrode,23775","heiligenhafen,ostholstein",1,1941
"großfriesen,8541","wustrow,nordvorpommern",1,114727
"großräschen,1983","altenau,goslar",1,65941
"großschwabhausen,99441","rückeberg,schleswig-flensburg",1,113580
"gräfenhainichen,6773","eckernförde,rendsburg-eckernförde",1,93802
"grömitz,23743","zingst,nordvorpommern",1,30708
"grömitz / ot cismar,23743","emmelsbüll-horsbüll,nordfriesland",1,43750
"grünenplan,31073","vadersdorf,ostholstein",1,79138
"gummersbach,51645","seriem,wittmund",1,80498
"gummersbach,51647","dümmer,ludwigslust-parchim",1,99319
"gusow,15306","dagebüll,nordfriesland",1,117925
"gutersloh,33335","rheda,detmold",1,3519
"gutglück,16356","bad bevensen,uelzen",1,52618
"guxhagen,34302","priwall peninsula,lübeck",1,85040
"gäufelden,71126","bad sachsa,landkreis osterode am harz",1,97908
"göggingen (württemberg),73571","roes,cochem-zell",1,65006
"göppingen,73035","steibis,swabia",1,35445
"görlitz,2826","baabe,rügen",1,98101
"görlitz,2826","ostseebad damp,rendsburg-eckernförde",1,135319
"görlitz,2827","schaufling,lower bavaria",1,76482
"göttingen,37073","altenau,goslar",1,12332
"göttingen,37073","zingst,nordvorpommern",1,99239
"göttingen,37075","quilitz,ostvorpommern",1,100574
"göttingen,37075","westerland,nordfriesland",1,104570
"göttingen,37077","niendorf/ostsee,ostholstein",1,73652
"göttingen,37079","wackerballig,schleswig-flensburg",1,95055
"göttingen,37083","hohen wieschendorf,nordwestmecklenburg",1,76199
"güsten,39439","bubesheim,swabia",1,103228
"güstrow,18273","boltenhagen,nordwestmecklenburg",1,18475
"güstrow,18273","ostseebad,rügen",1,30856
"gütersloh,33332","haffkrug,ostholstein",1,76574
"gütersloh,33332","priwall peninsula,lübeck",1,75397
"gütersloh,33334","bad malente-gremsmühlen,ostholstein",1,76633
"gütersloh,33334","friedrichskoog-spitze,dithmarschen",1,62577
"gütersloh,33334","laboe,plön",1,79888
"gütersloh,33335","großenbrode,ostholstein",1,86498
"ha,20249","süderholm,dithmarschen",1,1625468
"haan,42781","boltenhagen,nordwestmecklenburg",1,112079
"haan,42781","reifferscheid,cologne",1,23908
"hagen,58091","usseln,kassel",1,21948
"hagen,58091","vadersdorf,ostholstein",1,113956
"hagen,58091","westerland,nordfriesland",1,106935
"hagen,58098","blissenbach,cologne",1,11353
"hagen,58099","burg auf fehmarn,ostholstein",1,112268
"hagen,58099","staberdorf,ostholstein",1,112565
"hagen,58135","bröckel,celle",1,61926
"hagen,58135","hohwacht,plön",1,105987
"hagenow,19230","schönhagen,rendsburg-eckernförde",1,41210
"haiger,35708","hausen,neuwied",1,16681
"hainburg,63512","dittishausen,freiburg",1,65385
"hainichen,9661","ostseebad,rügen",1,100142
"halle,6110","bad herrenalb,karlsruhe",1,104009
"halle,6110","prerow,nordvorpommern",1,88866
"halle,6116","rerik,rostock",1,78409
"halle,6120","großpösna,leipzig",1,13288
"halle,6128","lechhausen-ost,swabia",1,93361
"halle,6130","ostseebad,rügen",1,91817
"halle,6132","koserow,ostvorpommern",1,85994
"halle (saale),6110","müritz,rostock",1,81867
"halle (saale),6122","keppeln,düsseldorf",1,104663
"hallerndorf,91352","seriem,wittmund",1,131619
"haltern am see,45721","lennestadt,arnsberg",1,25985
"halver,58553","eilsum,aurich",1,68407
"hamburg,20099","tinnum,nordfriesland",1,49433
"hamburg,20144","achtrup,nordfriesland",1,39696
"hamburg,20146","jaderaltendeich,wesermarsch",1,31557
"hamburg,20149","garding,nordfriesland",1,30689
"hamburg,20249","seebad heringsdorf,ostvorpommern",1,73898
"hamburg,20251","grömitz,ostholstein",1,23788
"hamburg,20253","alt travemünde - rönnau,lübeck",1,19694
"hamburg,20255","hörnum,nordfriesland",1,45395
"hamburg,20255","karschau,schleswig-flensburg",1,31023
"hamburg,20255","röbel,mecklenburgische seenplatte",1,47194
"hamburg,20357","bad rothenfelde,osnabrück",1,54023
"hamburg,20357","groß schwansee,nordwestmecklenburg",1,22102
"hamburg,20357","gröbern,anhalt-bitterfeld",1,71468
"hamburg,20357","lensterstrand,ostholstein",1,25233
"hamburg,20357","timmendorfer strand,ostholstein",1,19063
"hamburg,20357","wyk auf föhr,nordfriesland",1,41462
"hamburg,20359","thale,harz",1,56982
"hamburg,20535","born a. darß,nordvorpommern",1,49688
"hamburg,20535","dagebüll,nordfriesland",1,41891
"hamburg,20535","garz,rügen",1,62159
"hamburg,20537","sankt peter-ording,nordfriesland",1,33138
"hamburg,20539","kappeln,schleswig-flensburg",1,33713
"hamburg,21031","alt travemünde - rönnau,lübeck",1,18148
"hamburg,21031","olpenitzdorf,schleswig-flensburg",1,34581
"hamburg,21033","hafendorf,mecklenburgische seenplatte",1,45768
"hamburg,21077","wremen,cuxhaven",1,26201
"hamburg,21107","kappeln,schleswig-flensburg",1,34456
"hamburg,21109","schönhagen,rendsburg-eckernförde",1,33795
"hamburg,21129","hohendorf,nordvorpommern",1,69723
"hamburg,22041","karschau,schleswig-flensburg",1,31301
"hamburg,22041","sankt peter-ording,nordfriesland",1,33060
"hamburg,22045","fehmarn,ostholstein",1,31610
"hamburg,22045","innenstadt,lübeck",1,12971
"hamburg,22047","priwall peninsula,lübeck",1,17340
"hamburg,22049","lübbenow,uckermark",1,65874
"hamburg,22083","langwedel,gifhorn",1,28152
"hamburg,22085","glowe,rügen",1,67093
"hamburg,22111","dankerode,harz",1,61172
"hamburg,22111","grömitz,ostholstein",1,23636
"hamburg,22111","papenburg,emsland",1,49187
"hamburg,22111","zingst,nordvorpommern",1,52652
"hamburg,22113","lancken,rügen",1,66808
"hamburg,22117","fedderwardersiel,wesermarsch",1,31485
"hamburg,22117","jordanshöhe,goslar",1,54707
"hamburg,22119","innenstadt,lübeck",1,13756
"hamburg,22119","seebad heringsdorf,ostvorpommern",1,71944
"hamburg,22143","haffkrug,ostholstein",1,16667
"hamburg,22143","kappeln,schleswig-flensburg",1,31572
"hamburg,22145","friedrichskoog-spitze,dithmarschen",1,27121
"hamburg,22145","priwall peninsula,lübeck",1,15176
"hamburg,22147","burg auf fehmarn,ostholstein",1,30704
"hamburg,22147","kappeln,schleswig-flensburg",1,31283
"hamburg,22147","rantum,nordfriesland",1,48625
"hamburg,22149","olpenitzdorf,schleswig-flensburg",1,32047
"hamburg,22159","nordgeorgsfehn,leer",1,44033
"hamburg,22177","alt travemünde - rönnau,lübeck",1,17733
"hamburg,22179","wenningstedt-braderup,nordfriesland",1,49478
"hamburg,22299","sankt peter-ording,nordfriesland",1,31623
"hamburg,22301","börgerende,rostock",1,37073
"hamburg,22303","kappeln,schleswig-flensburg",1,31787
"hamburg,22303","schönhagen,rendsburg-eckernförde",1,30939
"hamburg,22303","timmendorfer strand,ostholstein",1,17787
"hamburg,22307","blankenburg,harz",1,55551
"hamburg,22307","bodstedt,nordvorpommern",1,50248
"hamburg,22307","priwall peninsula,lübeck",1,17968
"hamburg,22309","grömitz,ostholstein",1,22539
"hamburg,22309","sankt peter-ording,nordfriesland",1,32049
"hamburg,22335","priwall peninsula,lübeck",1,18008
"hamburg,22337","wernigerode,harz",1,54720
"hamburg,22339","althagen,nordvorpommern",1,46217
"hamburg,22395","niendorf/ostsee,ostholstein",1,15490
"hamburg,22395","pellworm,nordfriesland",1,36141
"hamburg,22415","baabe,rügen",1,67861
"hamburg,22419","damperhof,plön",1,19825
"hamburg,22459","dagebüll,nordfriesland",1,39209
"hamburg,22523","priwall peninsula,lübeck",1,19868
"hamburg,22525","wenningstedt-braderup,nordfriesland",1,48379
"hamburg,22527","schönhagen,rendsburg-eckernförde",1,30748
"hamburg,22529","drochtersen,stade",1,10749
"hamburg,22529","haffkrug,ostholstein",1,19448
"hamburg,22529","kirchberg,rhein-hunsrück-kreis",1,118039
"hamburg,22529","oldsum,nordfriesland",1,42766
"hamburg,22547","eckernförde,rendsburg-eckernförde",1,25877
"hamburg,22547","kopendorf,ostholstein",1,33173
"hamburg,22547","timmendorfer strand,ostholstein",1,19672
"hamburg,22559","heringsdorf,ostholstein",1,30527
"hamburg,22587","wyk auf föhr,nordfriesland",1,39840
"hamburg,22589","grömitz,ostholstein",1,26220
"hamburg,22589","kühlungsborn ost,rostock",1,37954
"hamburg,22607","eckernförde,rendsburg-eckernförde",1,26704
"hamburg,22607","graal,rostock",1,46010
"hamburg,22609","feldberg,freiburg",1,172532
"hamburg,22761","olpenitzdorf,schleswig-flensburg",1,32605
"hamburg,22765","kappeln,schleswig-flensburg",1,32795
"hamburg,22767","baabe,rügen",1,70024
"hamburg,22769","hohendorf,nordvorpommern",1,67724
"hamburg,22851","sankt peter-ording,nordfriesland",1,30248
"hameln,31787","niedersfeld,arnsberg",1,29332
"hameln,31787","olpenitzdorf,schleswig-flensburg",1,76814
"hameln,31787","sankt peter-ording,nordfriesland",1,66385
"hameln,31789","friedrichskoog,dithmarschen",1,57706
"hamm,59069","ditzum,leer",1,51376
"hamm,59069","rudow,neukölln",1,105603
"hamm,59075","fedderwardersiel,wesermarsch",1,56913
"hamm,59075","kühlungsborn ost,rostock",1,101889
"hamm,59077","neuenkirchen,heidekreis",1,54463
"hammah,21714","sandbrink,diepholz",1,37315
"hammersbach,63546","dagebüll,nordfriesland",1,133599
"hanau,63454","berliner innenstadt,berliner innenstadt",1,109757
"handorf,21447","grömitz,ostholstein",1,26203
"hankensbuettel,29386","kappeln,schleswig-flensburg",1,58602
"hankensbüttel,29386","dagebüll,nordfriesland",1,68173
"hann. münden,34346","friedrichskoog-spitze,dithmarschen",1,79101
"hann.münden,34346","jordanshöhe,goslar",1,17860
"hann.münden,34346","sankt peter-ording,nordfriesland",1,87658
"hannover,30161","kappeln,schleswig-flensburg",1,67661
"hannover,30161","lübbenow,uckermark",1,79098
"hannover,30161","thale,harz",1,30276
"hannover,30163","fedderwardersiel,wesermarsch",1,43352
"hannover,30163","marienleuchte,ostholstein",1,67526
"hannover,30163","steingaden,upper bavaria",1,141113
"hannover,30163","stralsund,nordvorpommern",1,82045
"hannover,30165","zirchow,ostvorpommern",1,90104
"hannover,30167","friedrichskoog,dithmarschen",1,50487
"hannover,30167","langeoog,wittmund",1,56640
"hannover,30171","rutenberg,uckermark",1,69002
"hannover,30175","rutenberg,uckermark",1,68710
"hannover,30177","großwürden,wesermarsch",1,43500
"hannover,30179","grömitz,ostholstein",1,55867
"hannover,30419","priwall peninsula,lübeck",1,50495
"hannover,30419","schönhagen,rendsburg-eckernförde",1,66354
"hannover,30419","waren,müritz",1,63130
"hannover,30419","zinnowitz,ostvorpommern",1,90131
"hannover,30453","burhave,wesermarsch",1,42890
"hannover,30457","jordanshöhe,goslar",1,23662
"hannover,30457","ummanz,rügen",1,87850
"hannover,30459","aschendorf,osnabrück",1,29553
"hannover,30519","prerow,nordvorpommern",1,79741
"hannover,30539","jordanshöhe,goslar",1,21896
"hannover,30559","feichten,upper bavaria",1,137517
"hannover,30559","kappeln,schleswig-flensburg",1,68245
"hannover,30625","priwall peninsula,lübeck",1,50426
"hannover,30625","prora,rügen",1,90610
"hannover,30627","großenbrode,ostholstein",1,62844
"hannover,30627","parow,nordvorpommern",1,82209
"hannover,30627","timmendorfer strand,ostholstein",1,50579
"hannover,30629","büsum,dithmarschen",1,54640
"hannover,30629","seriem,wittmund",1,54580
"hannover,30655","dagebüll,nordfriesland",1,71833
"hannover,30657","jordanshöhe,goslar",1,24658
"hannover,30659","hage,aurich",1,57298
"hannover,30659","sahlenburg,cuxhaven",1,47940
"harsefeld,21698","olpenitzdorf,schleswig-flensburg",1,37114
"harsewinkel,33428","mönkebüll,nordfriesland",1,81866
"hasbergen,49205","grömitz,ostholstein",1,77855
"hasbergen,49205","thale,harz",1,58085
"haselünne,49740","fedderwardersiel,wesermarsch",1,31393
"hasenkrug,24616","prerow,nordvorpommern",1,49134
"haslach,77716","hofstetten,freiburg",1,725
"hassendorf,27367","göhren-lebbin,mecklenburgische seenplatte",1,58529
"hattenhofen,73110","großheirath,upper franconia",1,52156
"hattingen,45525","ettensberg,swabia",1,125621
"hattingen,45527","sögel,emsland",1,43680
"hatzfeld (eder),35116","unterbränd,freiburg",1,90969
"haßfurt,97437","karlshagen,ostvorpommern",1,135084
"heddesheim,68542","bärental,freiburg",1,49755
"heede,26892","winterberg,arnsberg",1,57973
"heeßen,31707","medebach,arnsberg",1,31645
"heide,25746","gelting,schleswig-flensburg",1,21361
"heideblick,15926","kühlungsborn-west,rostock",1,77623
"heidelberg,69121","großschirma,chemnitz",1,98566
"heidelberg,69124","unter-mossau,darmstadt",1,10294
"heiden,46359","bischofsreut,lower bavaria",1,156124
"heidenau,1809","selchow,oder-spree",1,37407
"heidesee,15754","ückeritz,ostvorpommern",1,51180
"heikendorf,24226","thorstorf,nordwestmecklenburg",1,22396
"heilbronn,74081","quetzin,ludwigslust-parchim",1,142414
"heiligenhafen,23774","norddeich,aurich",1,70233
"heiligenhaus,42579","baasem,cologne",1,29627
"heimertingen,87751","happach,swabia",1,11610
"heinsberg,52525","altstadt,erfurt",1,91750
"heist,25492","dieksanderkoog,dithmarschen",1,16027
"heldburg,98663","sandbrink,diepholz",1,79569
"hemer,58675","bad münster am stein-ebernburg,bad kreuznach",1,46451
"hemer,58675","prerow,nordvorpommern",1,125247
"hemmingen,30966","jordanshöhe,goslar",1,22385
"hemmingen,30966","olpenitzdorf,schleswig-flensburg",1,70495
"hemmingen,71282","grömitz,ostholstein",1,161003
"hemmingen,71282","ostbense,wittmund",1,145519
"hemslingen,27386","hohendorf,nordvorpommern",1,78035
"hennef/sieg,53773","westerland,nordfriesland",1,124454
"hennigsdorf,16761","bansin,ostvorpommern",1,43025
"hennigsdorf,16761","haffkrug,ostholstein",1,60554
"hennigsdorf,16761","olpenitzdorf,schleswig-flensburg",1,82542
"hennigsdorf,16761","thorstorf,nordwestmecklenburg",1,51770
"henstedt-ulzburg,24558","kappeln,schleswig-flensburg",1,26081
"henstedt-ulzburg,24558","lancken,rügen",1,64918
"henstedt-ulzburg,24558","rerik,rostock",1,29138
"henstedt-ulzburg,24558","tossens,wesermarsch",1,31949
"hentern,54314","dagebüll,nordfriesland",1,156148
"heppenheim,64646","trollenhagen,mecklenburgische seenplatte",1,145289
"hepstedt,27412","bettenbach,darmstadt",1,109145
"herbsleben,99955","serrig,trier-saarburg",1,92892
"herbstein,36358","dagebüll,nordfriesland",1,124355
"herdecke,58313","borkum,leer",1,65951
"herne,44623","trent,rügen",1,139370
"herne,44623","willingen,kassel",1,27004
"herne,44625","niedersfeld,arnsberg",1,25766
"herne,44627","neßmersiel,aurich",1,63355
"herne,44628","schieder,detmold",1,37010
"herne,44649","landschaftspolder,leer",1,50266
"herne,44649","vitzdorf,ostholstein",1,112943
"herne,44652","gossersweiler,südliche weinstraße",1,71681
"herren steinfeld,19071","schönhagen,rendsburg-eckernförde",1,36080
"herrenberg,71083","hessigheim,stuttgart",1,13489
"herrieden,91567","sasbach am kaiserstuhl,freiburg",1,65121
"herten,45699","burhave,wesermarsch",1,63043
"herten,45701","ostseebad damp,rendsburg-eckernförde",1,102678
"herzogenaurach,91074","weckersdorf,greiz",1,36896
"herzogenrath,52134","breit,bernkastel-wittlich",1,36221
"hettstadt,97265","isenbüttel,gifhorn",1,79491
"hettstedt,6333","vordorfermühle,upper franconia",1,48054
"heudeber,38855","bad lausick,leipzig",1,40147
"hiddenhausen,32120","anwanden,middle franconia",1,92734
"hildburghausen,98646","zingst,nordvorpommern",1,124241
"hilden,40721","dahme,ostholstein",1,117674
"hilden,40721","kappeln,schleswig-flensburg",1,116805
"hilden,40723","dagebüll,nordfriesland",1,110799
"hilden,40723","rott,detmold",1,41303
"hilden,40723","werdern,arnsberg",1,27603
"hildesheim,31134","timmendorfer strand,ostholstein",1,56764
"hildesheim,31135","jordanshöhe,goslar",1,16459
"hildesheim,31137","feichten,upper bavaria",1,131622
"hildesheim,31137","tossens,wesermarsch",1,51263
"hildesheim,31139","braunlage,goslar",1,17536
"hildesheim,31139","timmendorfer strand,ostholstein",1,57563
"hildesheim,31141","großenbrode,ostholstein",1,69362
"hochheim,65239","priwall peninsula,lübeck",1,125364
"hof,95030","dreislar,arnsberg",1,64703
"hof,95032","glowe,rügen",1,130107
"hofgeismar,34369","kappeln,schleswig-flensburg",1,94418
"hofgeismar,34369","westerland,nordfriesland",1,103119
"hohen neuendorf ot bergfelde,16562","oertzenhof,nordwestmecklenburg",1,51699
"hohenahr,35644","norden,aurich",1,90206
"hohenbrunn,85662","wackerballig,schleswig-flensburg",1,202045
"hohenbucko,4936","prora,rügen",1,79495
"hohenlinden,85664","scharling,upper bavaria",1,15421
"hohenstein-ernstthal,9337","dahmsdorf,oder-spree",1,48906
"hohenwestedt,24594","eckernförde,rendsburg-eckernförde",1,11702
"hohne,29362","elmenhorst,nordwestmecklenburg",1,43738
"hohne,29362","gollwitz,nordwestmecklenburg",1,46836
"hohne,29362","meißendorf,celle",1,10676
"hohne,29362","zingst,nordvorpommern",1,68405
"holzgerlingen,71088","mühlenbach,freiburg",1,21288
"holzhausen,56357","schillig,friesland",1,103435
"holzminden,37603","norddeich,aurich",1,67400
"homberg efze,34576","reithamm,aurich",1,84133
"homburg,66424","tannenberg,upper bavaria",1,81664
"hopsten,48496","sandbrink,diepholz",1,13550
"horgau,86497","nienkattbek,rendsburg-eckernförde",1,173636
"horstmar,48612","burhave,wesermarsch",1,47726
"hoyerswerda,2977","wilsche,gifhorn",1,75105
"hude,27798","teßmannsdorf,rostock",1,62192
"hude (oldenburg),27798","rerik,rostock",1,64599
"husum,25813","ramsau bei berchtesgaden,upper bavaria",1,217097
"husum,25813","riddorf,nordfriesland",1,4073
"hörstel,48477","baabe,rügen",1,124579
"hörstel,48477","eckwarden,wesermarsch",1,38677
"hörstel,48477","jordanshöhe,goslar",1,56388
"hörstel,48477","wiegboldsbur,aurich",1,34649
"hörstel,48477","zingst,nordvorpommern",1,110460
"hövelhof,33161","sankt peter-ording,nordfriesland",1,73228
"höxter,37671","gilgenhöfe,upper bavaria",1,129507
"höxter,37671","wyk auf föhr,nordfriesland",1,87004
"hückelhoven,41836","cochem,cochem-zell",1,32082
"hückelhoven,41836","schobüll,nordfriesland",1,114313
"hückeswagen,42499","norderteil,cuxhaven",1,84212
"hüllhorst,32609","großenbrode,ostholstein",1,75651
"hünfeld,36088","fehmarn,ostholstein",1,115987
"hünfeld,36088","marktrodach,upper franconia",1,33279
"hünfelden,65597","friedrichskoog-spitze,dithmarschen",1,111015
"hürth,50354","carolinensiel,wittmund",1,85736
"hütschenhausen,66882","krähenberg,südwestpfalz",1,2810
"hüttenberg,35625","sobernheim,bad kreuznach",1,28073
"hüttigweiler,66557","schneverdingen,heidekreis",1,121725
"ibbenbüren,49477","alme,arnsberg",1,29476
"idstein,65510","urspring,upper bavaria",1,90051
"illingen,66557","dagebüll,nordfriesland",1,161647
"illingen,66557","speyer,speyer",1,27326
"ilmenau,98693","ilmenau,ilm-kreis",1,600
"ilsede,31241","zingst,nordvorpommern",1,78244
"ingelheim,55218","monreal,mayen-koblenz",1,19957
"ise5,58642","harlesiel,wittmund",1,1606686
"isenbüttel,38550","radisleben,harz",1,24474
"iserlohn,58640","ockholm,nordfriesland",1,98625
"isernhagen,30916","jordanshöhe,goslar",1,24934
"issigau,95188","neuendorf,ostvorpommern",1,106805
"issing,86946","westerland,nordfriesland",1,212110
"issum,47661","winterberg,arnsberg",1,40531
"jena,7745","finsterbergen,gotha",1,18378
"jena,7747","waldseite,bentheim",1,93164
"jena,7749","karlstadt am main,lower franconia",1,45158
"jessen (elster),6917","mitte,mitte",1,21755
"jever,26441","koogsreihe,nordfriesland",1,39351
"jockgrim,76751","niedersfeld,arnsberg",1,64501
"jößnitz,8547","kühlungsborn,rostock",1,107408
"jüchen,41363","carolinensiel,wittmund",1,80724
"kaarst,41465","wilhelmshaven,wilhelmshaven",1,73684
"kaarst,41564","dahme,ostholstein",1,120330
"kaarst,41564","filz,cochem-zell",1,31804
"kaarst,41564","kühlungsborn ost,rostock",1,127357
"kaarst,41564","neßmersiel,aurich",1,74227
"kaarst,41564","sandbrink,diepholz",1,50407
"kaarst,41564","stolpe,ostvorpommern",1,148349
"kaarst,41564","westerland,nordfriesland",1,113899
"kaiserslautern,67655","osburg,trier-saarburg",1,20530
"kaiserslautern,67659","odernheim am glan,bad kreuznach",1,8852
"kaisheim,86687","mühlberg,lower bavaria",1,50525
"kalkar,47546","buckow,neukölln",1,131620
"kaltenkirchen,24568","boltenhagen,nordwestmecklenburg",1,22347
"kaltenkirchen,24568","jordanshöhe,goslar",1,63456
"kaltenkirchen,24568","priwall peninsula,lübeck",1,16480
"kamen,59174","krakow am see,rostock",1,103105
"kamen,59174","neuringe,emsland",1,32864
"kamp lintfort,47475","burgaltendorf,düsseldorf",1,11413
"kamp-lintfort,47475","haffkrug,ostholstein",1,107056
"kamp-lintfort,47475","harlesiel,wittmund",1,69104
"kapellen-drustweiler,76889","kutenholz,stade",1,132237
"karben,61184","seriem,wittmund",1,104742
"karlsfeld,85757","wilhelmshaven,wilhelmshaven",1,169484
"karlsruhe,76131","schonach im schwarzwald,freiburg",1,26204
"karlsruhe,76133","lauterbach,freiburg",1,23117
"karlsruhe,76135","reichenhofen,tübingen",1,46192
"karlsruhe,76135","wittenbeck,rostock",1,165016
"karlsruhe,76137","lindau,swabia",1,48999
"karlsruhe,76139","haßloch,bad dürkheim",1,10603
"karlsruhe,76185","eichwalde,dahme-spreewald",1,140760
"karlsruhe,76185","taufkirchen,lower bavaria",1,86846
"karlsruhe,76185","wilhelmshaven,wilhelmshaven",1,134485
"karlsruhe,76227","althagen,nordvorpommern",1,174787
"karlsruhe,76229","wyk auf föhr,nordfriesland",1,168687
"karlsruhr,76131","baiersbronn,karlsruhe",1,15203
"karlstein,63791","priwall peninsula,lübeck",1,120690
"kassel,34119","burhave,wesermarsch",1,70058
"kassel,34130","grömitz,ostholstein",1,88291
"kassel,34134","edertal,kassel",1,7963
"kassel,34134","schwalefeld,kassel",1,15598
"kassel , hess,34123","veckerhagen,kassel",1,5843
"katlenburg-lindau,37191","großenbrode,ostholstein",1,82550
"kaufbeuren,87600","thale,harz",1,115258
"kaufungen,34260","priwall peninsula,lübeck",1,82256
"kehl,77694","dornhan,freiburg",1,14769
"kehl,77694","mühlenbach,freiburg",1,11085
"kelkheim,65779","sachrang,upper bavaria",1,104649
"kempen,47906","lissendorf,vulkaneifel",1,31541
"kempen,47906","niedersfeld,arnsberg",1,39209
"kempenich,56746","neugarmssiel,friesland",1,97619
"kempten,87437","waren,müritz",1,177026
"kerken,47647","bernkastel,bernkastel-wittlich",1,44804
"kerken,47647","carolinensiel,wittmund",1,71082
"kerpen,50170","kalterherberg,cologne",1,12609
"kerpen,50170","lierfeld,bitburg-prüm",1,22521
"kevelaer,47623","hollstadt,lower franconia",1,84178
"kevelaer,47623","kappeln,schleswig-flensburg",1,112756
"kiel,24113","eckernförde,rendsburg-eckernförde",1,6973
"kiel,24116","list,nordfriesland",1,35531
"kiel,24118","krems ii,segeberg",1,11325
"kiel,24143","vorstadt,plön",1,6855
"kiel,24145","kappeln,schleswig-flensburg",1,11797
"kirchardt,74912","bad wildbad,karlsruhe",1,15986
"kirchberg,8107","kaltenhof,nordwestmecklenburg",1,103526
